rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1598332107891814077,,8950,,1598332107,890740454,"""navsat_link""",,2,1,24.7685683333,55.3700916667,81.46,"[1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 6.760000000000001]",1
1598332107941819075,,8951,,1598332107,940829293,"""navsat_link""",,2,1,24.7685683333,55.3700916667,81.46,"[1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 6.760000000000001]",1
1598332107991725979,,8952,,1598332107,990667646,"""navsat_link""",,2,1,24.7685683333,55.3700916667,81.46,"[1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 6.760000000000001]",1
1598332108041842518,,8953,,1598332108,40866728,"""navsat_link""",,2,1,24.7685683333,55.3700916667,81.45,"[1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 6.760000000000001]",1
1598332108094512204,,8954,,1598332108,93587826,"""navsat_link""",,2,1,24.7685683333,55.3700916667,81.46,"[1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 6.760000000000001]",1
1598332108141442948,,8955,,1598332108,140488099,"""navsat_link""",,2,1,24.7685683333,55.3700916667,81.46,"[1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 6.760000000000001]",1
1598332108191662694,,8956,,1598332108,190499208,"""navsat_link""",,2,1,24.7685683333,55.3700916667,81.45,"[1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 6.760000000000001]",1
1598332108241462053,,8957,,1598332108,240480011,"""navsat_link""",,2,1,24.7685683333,55.3700916667,81.45,"[1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 6.760000000000001]",1
1598332108291448022,,8958,,1598332108,290609309,"""navsat_link""",,2,1,24.7685683333,55.3700916667,81.45,"[1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 6.760000000000001]",1
1598332108341432273,,8959,,1598332108,340591871,"""navsat_link""",,2,1,24.7685683333,55.3700916667,81.46,"[1.6900000000000002, 0.0, 0.0, 0.0, 1.6900000000000002, 0.0, 0.0, 0.0, 6.760000000000001]",1
