rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1598331462065314898,,4931,,1598331462,64179518,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462119512411,,4932,,1598331462,118374067,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462165174929,,4933,,1598331462,164079185,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.45,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462215167860,,4934,,1598331462,214112489,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462265124644,,4935,,1598331462,264075766,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462315980814,,4936,,1598331462,315138429,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462364847768,,4937,,1598331462,363930851,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462415958185,,4938,,1598331462,414933688,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462465919924,,4939,,1598331462,464959473,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462515959658,,4940,,1598331462,514899408,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462564871935,,4941,,1598331462,563909371,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462615918257,,4942,,1598331462,614879238,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462665857807,,4943,,1598331462,664872265,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462715767650,,4944,,1598331462,714746529,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462765810809,,4945,,1598331462,764787692,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462815766310,,4946,,1598331462,814695386,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462865871423,,4947,,1598331462,864880906,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462915596919,,4948,,1598331462,914690759,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331462965728199,,4949,,1598331462,964819052,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463015878877,,4950,,1598331463,14809801,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463065589610,,4951,,1598331463,64597590,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463118873226,,4952,,1598331463,117727092,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463165323669,,4953,,1598331463,164475026,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463215523564,,4954,,1598331463,214536858,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463265290276,,4955,,1598331463,264391421,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463315554163,,4956,,1598331463,314441849,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463365614308,,4957,,1598331463,364672417,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463415719648,,4958,,1598331463,414615908,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463465688070,,4959,,1598331463,464531869,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463515463448,,4960,,1598331463,514423409,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463565263992,,4961,,1598331463,564309036,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463616333655,,4962,,1598331463,615270850,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463665306067,,4963,,1598331463,664317705,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463715232616,,4964,,1598331463,714235446,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463765228290,,4965,,1598331463,764318832,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463815606227,,4966,,1598331463,814487008,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463865341277,,4967,,1598331463,864242171,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463915277947,,4968,,1598331463,914263534,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331463965434102,,4969,,1598331463,964338340,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464015324424,,4970,,1598331464,14157164,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464065265368,,4971,,1598331464,64331880,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464118157661,,4972,,1598331464,117087294,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464165209585,,4973,,1598331464,164253953,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464215104066,,4974,,1598331464,214014974,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464265086119,,4975,,1598331464,263931272,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464314844108,,4976,,1598331464,313923802,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464365862823,,4977,,1598331464,364965692,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464415106152,,4978,,1598331464,414124542,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464464860572,,4979,,1598331464,463874584,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464516033383,,4980,,1598331464,515028183,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464564848331,,4981,,1598331464,563795865,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464615868354,,4982,,1598331464,614828714,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464664613917,,4983,,1598331464,663741740,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464715957795,,4984,,1598331464,714797912,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464765791328,,4985,,1598331464,764773044,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464815681941,,4986,,1598331464,814640811,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464865720219,,4987,,1598331464,864671495,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464915633109,,4988,,1598331464,914686320,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331464965557815,,4989,,1598331464,964589769,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465015876956,,4990,,1598331465,14809598,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465065606874,,4991,,1598331465,64589568,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465118485358,,4992,,1598331465,117540453,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.42,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465165464010,,4993,,1598331465,164522622,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465215814308,,4994,,1598331465,214729757,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465265388015,,4995,,1598331465,264443149,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465315448547,,4996,,1598331465,314414027,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465365383454,,4997,,1598331465,364354449,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465415456264,,4998,,1598331465,414419761,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465465525491,,4999,,1598331465,464387169,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465515527427,,5000,,1598331465,514404493,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465565425095,,5001,,1598331465,564353111,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465616494451,,5002,,1598331465,615496777,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465665520895,,5003,,1598331465,664475162,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465715305104,,5004,,1598331465,714272237,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465765399493,,5005,,1598331465,764366333,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465815467038,,5006,,1598331465,814293405,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465865618430,,5007,,1598331465,864472717,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465915413151,,5008,,1598331465,914257206,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331465965313656,,5009,,1598331465,964239343,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466015194856,,5010,,1598331466,14219596,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466065266443,,5011,,1598331466,64256936,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466119207574,,5012,,1598331466,118112932,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466165309700,,5013,,1598331466,164147753,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.44,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466215321958,,5014,,1598331466,214159913,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466264924649,,5015,,1598331466,263980132,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466315331892,,5016,,1598331466,314216381,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466364975904,,5017,,1598331466,363963557,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466415051016,,5018,,1598331466,414020754,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466465008267,,5019,,1598331466,463963328,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466514897793,,5020,,1598331466,513895263,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466564979673,,5021,,1598331466,563908438,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.42,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466615823192,,5022,,1598331466,614872401,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.42,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466664886956,,5023,,1598331466,663826408,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466715011294,,5024,,1598331466,713894210,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
1598331466765729348,,5025,,1598331466,764749969,"""navsat_link""",,2,1,24.7685683333,55.3700866667,81.43,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0]",1
