rosbagTimestamp,linear,x,y,z,angular,x,y,z
1598329439625865890,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329439698016959,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329439780273628,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329439852658471,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329439925070270,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440007098242,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440079670895,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440152305376,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440193021240,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440234345991,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440265842078,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440347752362,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440420160703,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440492582977,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440574791853,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440647324787,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440719800596,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440801676921,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440874194046,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440946686608,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329440987558997,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441028707683,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441060102178,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441142162577,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441214461222,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441287385876,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441369270813,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441441577979,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441514133098,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441596166865,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441668412878,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441741053013,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441782198895,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441823366551,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441854659269,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329441936891458,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442009304506,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442081489215,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442115250192,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442156379698,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442200232565,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442241346064,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442285191953,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442370623549,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442455530535,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442496661081,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442540785532,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442625719970,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442710725685,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442752056639,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442795882825,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442880953932,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329442966167306,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443007315343,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443051096127,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443136170378,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443221316037,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443262416575,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443306421654,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443391686358,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443476568037,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443517618126,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443561597309,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443603200685,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443646865222,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443731856150,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443773093977,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443817086184,,0.0,0.0,0.0,,0.0,0.0,0.0
1598329443858178469,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1598329443902137959,,-0.0,0.0,0.0,,0.0,0.0,-0.0
1598329443987215641,,-0.0241617262363,0.0,0.0,,0.0,0.0,-0.0
